graph,best possible solution,result,heuristic_result,timeout,time (sec),max_depth,branches_num,average_float_cplex_time,discarded_branches_num,average_cutting_time,average_cutting_iteration_time,
order  - greatest score first, improved ind set, nearest to integer
hamming6-2.clq,32,32.000000,32,0,0,1,1,0,1,0,0,
MANN_a9.clq,16,16.000000,16,0,0,37,62,0,33,0,0,
c-fat200-1.clq,12,12.000000,12,0,2,18,28,2,15,0,0,
c-fat200-2.clq,24,24.000000,24,0,4,17,30,10,17,0,0,
gen200_p0.9_55.clq,55,55.000000,49,0,21,111,234,9,116,0,2,
hamming6-4.clq,4,4.000000,4,0,0,81,115,1,59,0,0,
san200_0.7_1.clq,30,30.000000,22,0,14,130,206,10,103,0,1,
san200_0.9_1.clq,70,70.000000,70,0,2,6,9,0,6,0,0,
san200_0.9_2.clq,60,60.000000,50,0,14,121,227,4,112,0,1,
c-fat500-10.clq,126,126.000000,126,0,10,5,7,11,5,0,0,
c-fat500-5.clq,64,64.000000,64,0,192,19,37,57,20,5,14,
c-fat200-5.clq,58,58.000000,58,0,63,95,173,39,88,0,6,
c-fat500-1.clq,14,14.000000,14,0,12,24,42,14,22,0,0,
c-fat500-2.clq,26,26.000000,26,0,91,32,57,45,30,1,6,
san200_0.7_2.clq,18,18.000000,17,0,23,87,217,10,109,0,2,
C125.9.clq,34,34.000000,34,0,859,12346,24648,26,12325,0,17,
