graph,best possible solution,result,heuristic_result,timeout,time (sec),max_depth,branches_num,average_float_cplex_time,discarded_branches_num,average_cutting_time,average_cutting_iteration_time,
order  - greatest score first, improved ind set, nearest to integer
hamming6-2.clq,32,32.000000,32,0,0,1,1,0,1,0,0,
MANN_a9.clq,16,16.000000,16,0,0,37,62,0,33,0,0,
c-fat200-1.clq,12,12.000000,12,0,2,16,21,2,11,0,0,
c-fat200-2.clq,24,24.000000,24,0,9,13,28,16,15,0,0,
gen200_p0.9_55.clq,55,55.000000,50,0,25,142,252,10,126,0,3,
hamming6-4.clq,4,4.000000,4,0,0,96,140,1,72,0,0,
san200_0.7_1.clq,30,30.000000,22,0,30,192,347,10,175,0,2,
san200_0.9_1.clq,70,70.000000,70,0,4,5,12,0,7,0,0,
san200_0.9_2.clq,60,60.000000,52,0,15,63,112,3,56,0,1,
c-fat500-10.clq,126,126.000000,126,0,103,33,62,17,35,1,7,
