graph,best possible solution,result,heuristic_result,timeout,time (sec),max_depth,branches_num,average_float_cplex_time,discarded_branches_num,average_cutting_time,average_cutting_iteration_time,
order  - greatest score first, improved ind set, nearest to integer
hamming6-2.clq,32,32.000000,32,0,0,1,1,0,1,0,0,
MANN_a9.clq,16,16.000000,16,0,0,37,62,0,33,0,0,
c-fat200-1.clq,12,12.000000,12,0,1,16,26,1,14,0,0,
c-fat200-2.clq,24,24.000000,24,0,7,14,28,9,15,0,0,
gen200_p0.9_55.clq,55,55.000000,47,0,67,632,1254,20,624,0,5,
hamming6-4.clq,4,4.000000,4,0,0,88,124,1,63,0,0,
san200_0.7_1.clq,30,30.000000,23,0,9,42,82,4,42,0,0,
san200_0.9_1.clq,70,70.000000,70,0,4,5,10,0,6,0,0,
san200_0.9_2.clq,60,60.000000,51,0,12,106,178,3,89,0,1,
c-fat500-10.clq,126,126.000000,126,0,11,6,7,7,5,1,0,
c-fat500-5.clq,64,64.000000,64,0,412,28,84,23,44,4,30,
c-fat200-5.clq,58,58.000000,58,0,110,158,362,19,184,0,12,
c-fat500-1.clq,14,14.000000,14,0,16,35,53,24,28,0,1,
c-fat500-2.clq,26,26.000000,26,0,228,98,271,43,149,0,14,
san200_0.7_2.clq,18,18.000000,17,0,53,167,408,18,204,0,4,
C125.9.clq,34,34.000000,34,0,704,11466,22892,22,11447,0,14,
