graph,best possible solution,result,heuristic_result,timeout,time (sec),max_depth,branches_num,average_float_cplex_time,discarded_branches_num,average_cutting_time,average_cutting_iteration_time,
order  - greatest score first, improved ind set, nearest to integer
hamming6-2.clq,32,32.000000,32,0,0,1,1,0,1,0,0,
MANN_a9.clq,16,16.000000,16,0,0,37,62,0,33,0,0,
c-fat200-1.clq,12,12.000000,12,0,1,14,19,1,10,0,0,
c-fat200-2.clq,24,24.000000,24,0,6,9,22,14,12,0,0,
gen200_p0.9_55.clq,55,55.000000,49,0,9,15,49,3,25,0,1,
hamming6-4.clq,4,4.000000,4,0,0,94,142,0,73,0,0,
san200_0.7_1.clq,30,30.000000,21,0,21,195,344,14,172,0,2,
san200_0.9_1.clq,70,70.000000,70,0,3,7,12,0,7,0,0,
san200_0.9_2.clq,60,60.000000,50,0,20,235,493,6,245,0,2,
c-fat500-10.clq,126,126.000000,126,0,10,6,8,1,5,0,0,
